COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Alachua,277984,42736699945.0,114608526.0,978.5891068200002,76077066.7331238,93.82755329303212,Relatively Moderate,50.74626865671642,93.68616527390901,Relatively Moderate,50.74626865671642,67452553.16227776,57360163.635485806,0.771449063,8948809.126291249,1143580.4005009178,0.001342176,2.77516e-06,0.009978144,74.68276075518415
Baker,27852,3374423230.0,15145026.0,594.9157854900001,5718835.0560327945,46.770601336302896,Very Low,4.477611940298507,44.84679665738162,Very Low,7.462686567164178,4714454.69287237,3731177.708097936,0.079422077,921296.0980307629,61980.88674367142,0.001105723,2.85158e-06,0.004092491,64.28350355926958
Bay,174869,32317351193.0,3328101.0,1481.52779814,190796027.26630807,97.48647788736876,Relatively High,74.6268656716418,97.18353450943981,Relatively High,71.64179104477611,153731609.92820397,134734224.35202172,1.632387217831174,18935691.726841617,61693.84934070656,0.004169099,9.33491e-06,0.018537253,95.54317548746516
Bradford,28233,3560269432.0,15009945.0,303.52425519,12032156.648956012,70.2195354756602,Relatively Low,16.417910447761194,63.2002476013618,Relatively Low,14.925373134328357,8358712.405896109,7148014.4709362965,0.093068713,1079597.0726467136,131100.86231309868,0.002007717,3.29645e-06,0.008734267,82.38935314144229
Brevard,606067,105594638837.0,67636257.0,1572.75439347,449368630.24779594,99.36366528794144,Relatively High,92.5373134328358,99.38099659548128,Relatively High,92.5373134328358,414384254.5785334,381522655.28664446,2.686243075188205,31160419.672183126,1701179.6197062277,0.003613087,4.43225e-06,0.025151889,93.0052615289384
Broward,1940829,268172777830.0,28541787.0,1321.63714722,1193033660.0510118,99.74546611517657,Very High,98.50746268656717,99.7523986381925,Very High,98.50746268656717,943686695.929533,848496708.5243088,8.1617925825012,94676793.95701288,513193.4482114656,0.003163993,4.20531e-06,0.017980425,90.34354688950789
Calhoun,13597,2454657861.0,25249315.0,580.11135858,11426871.393758183,68.53324848870506,Relatively Low,13.432835820895525,64.34540389972145,Relatively Low,16.417910447761194,8736316.677505087,7202933.220598248,0.090887665,1054296.9164197545,479086.5404870862,0.002934394,6.68439e-06,0.018974239,91.4577530176416
Charlotte,186734,31462612566.0,50321193.0,956.79841803,144837302.57896587,96.5956092904868,Relatively High,70.1492537313433,96.40978025379141,Relatively High,68.65671641791045,120875120.78905594,109036231.94856168,0.949580789,11015137.146820124,823751.6936742128,0.003465581,5.08521e-06,0.016369876,92.41720829464562
Citrus,153476,21463068209.0,15451856.0,970.44050298,121228166.67545784,95.89564110722239,Relatively High,64.17910447761194,95.69792633859487,Relatively High,64.17910447761194,102003069.50239068,90840905.94905901,0.945633532,10969348.96782848,192814.5855031387,0.004232429,6.16144e-06,0.012478409,93.28381306097184
Clay,218078,29364105682.0,6258656.0,650.04055896,38992769.05845001,88.76869233216672,Relatively Moderate,41.7910447761194,89.53884246363356,Relatively Moderate,47.76119402985074,36713775.771183334,29637816.91674528,0.607646539,7048699.849688797,27259.00474922741,0.001009321,2.78637e-06,0.004355409,62.08604147322811
