COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_VALUE,RISK_SCORE,RISK_RATNG,RISK_SPCTL,EAL_SCORE,EAL_RATNG,EAL_SPCTL,EAL_VALT,EAL_VALB,EAL_VALP,EAL_VALPE,EAL_VALA,ALR_VALB,ALR_VALP,ALR_VALA,ALR_NPCTL
Adams,20588,4432183801.0,417265783.0,1949.28367959,4713884.810014272,39.83455297486478,Very Low,17.94871794871795,30.45496750232126,Very Low,15.384615384615383,3164404.1183976843,1066495.6195505247,0.098528336,1142928.7026444487,954979.7962027101,0.000240625,4.78572e-06,0.002288661,23.80068090374497
Asotin,22285,3373468753.0,14794575.0,646.90065804,1522679.0288174907,9.258670060451797,Very Low,10.256410256410255,10.925410089755497,Very Low,10.256410256410255,1433680.3058703004,1004424.4628079708,0.036509362,423508.6028474076,5747.24021492243,0.000297742,1.63829e-06,0.000388469,12.070566388115136
Benton,206541,35050156744.0,1152991205.0,1777.4653611,32842227.655895237,87.24148902322622,Relatively Moderate,66.66666666666666,86.412875270814,Relatively Moderate,69.23076923076923,28324989.785583656,13791147.606315272,1.135094242903437,13167093.217679832,1366748.9615885613,0.000393469,5.49573e-06,0.001185394,32.03342618384401
Chelan,78989,19160601632.0,296423320.0,3024.63266625,31915545.107945327,86.92332166719694,Relatively Moderate,64.1025641025641,85.76292169606933,Relatively Moderate,61.53846153846153,26497193.891785044,21479317.551680177,0.423492603,4912514.198384768,105362.1417200998,0.001121015,5.36141e-06,0.000355445,70.90683998761993
Clallam,77054,15118251093.0,13789846.0,2695.96185261,33501568.973088987,87.49602290804964,Relatively Moderate,69.23076923076923,85.917672547199,Relatively Moderate,66.66666666666666,26794873.154234525,19238820.179311022,0.651355904,7555728.484730347,324.4901931625223,0.001272556,8.45324e-06,2.35311e-05,78.9848344165893
Clark,503148,80039689085.0,54725126.0,662.21729652,119184126.53267512,95.83200763601654,Relatively High,89.74358974358977,95.85267718972455,Relatively High,89.74358974358977,106306840.57904804,72273906.3302621,2.932451948560285,34016442.603299305,16491.645486644822,0.000902976,5.82821e-06,0.000301354,60.53853296193129
Columbia,3947,984614441.0,35255933.0,882.25274982,785590.5015434802,3.595291123130766,Very Low,5.128205128205128,3.280718043949242,Very Low,5.128205128205128,643754.5232201244,315053.75893261726,0.025247517,292871.19732214446,35829.56696536241,0.000319977,6.39663e-06,0.001016271,30.08356545961003
Cowlitz,110649,22121679183.0,21749462.0,1178.20600209,57254272.9524019,92.14126630607699,Relatively Moderate,76.92307692307693,91.48870318786754,Relatively Moderate,79.48717948717949,46723925.08817039,33209840.64879351,1.164554997576368,13508837.971885875,5246.467490987861,0.001501235,1.05248e-05,0.000241223,85.54627050448778
Douglas,42903,6947095659.0,213277572.0,1867.46705769,9720488.073542701,63.53802099904551,Relatively Low,33.33333333333333,54.84370164035902,Relatively Low,30.769230769230766,6340852.174186503,3165209.1417626725,0.232063184,2691932.934194675,483710.0982291502,0.000455616,5.40902e-06,0.002267984,35.468895078922934
Ferry,7149,2598023013.0,41860048.0,2280.1985606400003,7372740.639068107,55.99745466115177,Relatively Low,28.205128205128204,46.76570721138967,Very Low,28.205128205128204,4981224.330811667,4411659.367031526,0.044916147,521027.30410091695,48537.65967923158,0.001698083,6.28286e-06,0.001159522,84.92726709996904
